codice_entita,�;descrizione;PrzIvato;codice_categoria;codice_iva;prezzo acquisto;
300411050;CORDON BLEU FATTORIA BONITA KG1;4,40;001.001.001.001;4,40;6
300411054;AMADORI GRAN BURGER 2 280GR;001.001.001.001;1,98;10;1,98;3
305020007;AMADORI COTOLETTA POLLO GR700;001.001.001.001;5,00;10;5,00;8
305770007;KEBAB AMADORI TACCHINO 700 GR;001.001.001.001;6,90;10;6,90;8
305770009;ALETTE DI POLLO PICCCANTI AMADORI 700GR;001.001.001.001;5,25;10;5,25;7
305000063;FILETTI DI MERLUZZO ALASKA  800G;001.001.001.001;4,19;;10;4,19;8
